.tabfm_row_id,round_tier,position,height_inches,weight_lbs,bmi_proxy,weight_position_pct,height_position_pct,sophomore_feature_coverage,school_drafts_prior_5y,school_position_drafts_prior_5y,so_defensive_tot_pct,so_rushing_yds_pct,so_rush_yds_share_pct,so_defensive_solo_pct,so_receiving_yds_pct,so_rec_yds_share_pct,so_defensive_tfl_pct,so_defensive_pd_pct,so_defensive_sacks_pct,so_rush_share_pct,so_defensive_qb_hur_pct,so_receiving_td_pct,so_interceptions_int_pct,so_rushing_td_pct,so_passing_yds_pct,so_passing_td_pct,so_rec_td_share_pct,stars,recruit_rank,recruit_rating,recruit_rank_pct,recruit_rating_pct,years_since_recruit,blue_chip,power_conference,has_recruiting,has_sophomore_stats,has_junior_stats,junior_feature_coverage,transfer_or_school_mismatch
226,R6_7,CB,70,190,27.259183673469387,0.6266866566716641,0.10778443113772455,0.8048780487804879,0,0,0.7476635514018691,0.006230529595015576,0.006230529595015576,0.8629283489096573,0.003115264797507788,0.003115264797507788,0.9750778816199377,0,0.9719626168224299,0,0,0,0.9688473520249221,0,0,0,0,,,,,,,,0,0,1,0,0,0
227,R6_7,WR,78,230,26.576265614727152,0.9937888198757764,0.9953271028037384,0,1,0,,,,,,,,,,,,,,,,,,2,3339,0.7597,0.08333333333333337,0.046875,4,0,,1,0,0,0,1
228,R6_7,RB,69,205,30.269901281243435,0.5683646112600537,0.15591397849462366,0.8292682926829268,12,0,0,0.32489451476793246,0.2616033755274262,0,0.012658227848101266,0.012658227848101266,0,0,0,0.2489451476793249,0,0,0,0.5358649789029536,0,0,0,,,,,,,,1,0,1,0,0,0
229,R2_3,IDL,76,222,27.019736842105264,0.04807692307692308,0.7567567567567568,0.8048780487804879,5,1,0.9947643979057592,0.005235602094240838,0.005235602094240838,0.9842931937172775,0,0,0.9842931937172775,1,0.9947643979057592,0,0.8691099476439791,0,0,0,0,0,0,,,,,,,,1,0,1,0,0,0
230,R6_7,QB,72,195,26.44386574074074,0.3,0.07692307692307693,0.9512195121951219,2,0,0.9516129032258065,1,0.9354838709677419,0.967741935483871,0.9354838709677419,0.9349593495934959,0,0,0,0.9516129032258065,0,0,0,1,0.8870967741935484,0.8709677419354839,0,2,3597,0.77,0.06060606060606055,0.06060606060606061,2,0,0,1,1,0,0,0
231,R4_5,IDL,75,320,39.99288888888889,0.9615384615384616,0.5115830115830116,0.8048780487804879,12,2,0.13612565445026178,0.005235602094240838,0.005235602094240838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,0,1,0,0,0
232,R6_7,TE,77,250,29.64243548659133,0.7958477508650519,0.7612456747404844,0.8048780487804879,0,0,0.9807692307692307,0,0,0.9903846153846154,0.019230769230769232,0.019230769230769232,0,1,0,0,0,0,0.9903846153846154,0,0.009615384615384616,0,0,3,1679,0.8317,0.6770833333333333,0.6458333333333334,3,0,0,1,1,0,0,1
233,R4_5,WR,72,155,21.019483024691358,0.010869565217391304,0.3878504672897196,0.8048780487804879,0,0,0,0.03767123287671233,0.037800687285223365,0,0.00684931506849315,0.00684931506849315,0,0,0,0,0,0,0.9965753424657534,0,0,0,0,,,,,,,,0,0,1,0,0,0
234,R6_7,WR,72,190,25.765817901234566,0.5636645962732919,0.3878504672897196,0.9512195121951219,0,0,0,0.010273972602739725,0,0,0.8116438356164384,0.8527397260273972,0,0,0,0.8487972508591065,0,0,0,0,0.9965753424657534,0.9931506849315068,0,3,572,0.8793,0.8072916666666666,0.8125,3,0,0,1,1,0,0,1
235,R6_7,RB,66,158,25.499081726354454,0.00804289544235925,0.002688172043010753,0.8536585365853658,1,0,0,0.4641350210970464,0.540084388185654,0,0.7721518987341772,0.7805907172995781,0,0,0,0.48945147679324896,0,0.8143459915611815,0,0,0,0,0.8945147679324894,4,281,0.9057,0.9310344827586207,0.9310344827586207,1,1,0,1,1,0,0,1
